,id,type,actor_login,repo_name,created_at,action,issue_title,comment_body
55595,10372797648,IssueCommentEvent,steipete,openclaw/openclaw,2026-06-07T06:58:50Z,created,fix(agents): decode xai and venice tool-call arguments exactly once,"Maintainer landing proof for rebased head `7942163e225c2b9acae609e12f27cb0e3d73cb6e`:

Local verification:

- `OPENCLAW_VITEST_MAX_WORKERS=1 node scripts/run-vitest.mjs src/agents/embedded-agent-runner/tool-call-argument-decoding.test.ts extensions/xai/stream.test.ts extensions/xai/index.test.ts extensions/xai/runtime-model-compat.test.ts extensions/venice/index.test.ts` passed: 5 files, 33 tests.
- `pnpm exec oxfmt --check extensions/xai/stream.ts extensions/xai/stream.test.ts src/agents/embedded-agent-runner/tool-call-argument-decoding.ts src/agents/embedded-agent-runner/tool-call-argument-decoding.test.ts` passed.
- `node scripts/run-oxlint.mjs extensions/xai/stream.ts extensions/xai/stream.test.ts src/agents/embedded-agent-runner/tool-call-argument-decoding.ts src/agents/embedded-agent-runner/tool-call-argument-decoding.test.ts` passed.
- `pnpm tsgo:core` passed.
- `pnpm tsgo:extensions` passed.
- `git diff --check origin/main...HEAD` passed.
- `pnpm changed:lanes --json` reported only core/coreTests/extensions/extensionTests for the touched files.
- `/Users/steipete/Projects/agent-scripts/skills/autoreview/scripts/autoreview --mode branch --base origin/main` passed with no accepted/actionable findings.

GitHub CI on the rebased PR head is green, including `build-artifacts`, `check-lint`, `check-test-types`, `check-additional-extension-bundled`, `check-additional-extension-channels`, `check-additional-extension-package-boundary`, `check-additional-runtime-topology-architecture`, `Real behavior proof`, and the selected security/quality checks.

Provider proof caveat: I did not run a credentialed live xAI or Venice network call. This fix is in the local stream wrapper composition: xAI now delegates HTML-entity tool-call argument repair to the shared core compat path, and the core wrapper decodes each shared arguments object once across partial/message/result paths. The regression tests exercise that production wrapper shape and Venice's shared compat path.
"
28511,10339691073,IssueCommentEvent,bigsolevibes,bigsolevibes/bigsolevibes,2026-06-05T18:51:48Z,created,[monitoring] fix: Wire SlotPreviewModal into ContentQueue — click any slot to preview image a,Confirmed stable — no related errors in eng-bot over 4 days. Closing.
38599,10354116981,IssueCommentEvent,melly-lgtm,melly-lgtm/inplan,2026-06-06T06:37:37Z,created,feat(skill): scoped auto-approval for the agent (review happens in the app),/agentic_review
14810,10209452244,IssueCommentEvent,dadamschi,dadamschi/portergoldberg,2026-06-03T03:09:37Z,created,404: unknown,"**Occurred again at 2026-06-03T03:09:36.828Z**

- Referer: https://portergoldberg.com/web/.env"
65226,10386030259,IssueCommentEvent,agigante80,agigante80/Actual-sync,2026-06-07T23:36:26Z,created,Sync fails with error: No budget file is open,"Thanks for the detailed logs, @RealGandy — they pinpoint it well.

**What's happening:** `downloadBudget` returns, but the budget never actually opens in memory — note the `api/load-budget` rejection with an empty message right before `getAccounts()` fails with *""No budget file is open.""* There are two known causes, and both have fixes in recent releases:

1. **`@actual-app/api` 26.x `resetClock` quirk** — on a first-time/cold download (or after a sync-reset in the Actual UI), `downloadBudget` writes the files to disk but doesn't open the budget. A workaround that re-opens it explicitly landed in **v1.4.2**.
2. **Data-directory permissions** — the container runs as a non-root user (UID 1001 by default). If the host folder you've mounted to `/app/data` is owned by a different user, `@actual-app/api` can't write the budget's SQLite database, which produces this exact symptom. **v1.4.3** adds `PUID`/`PGID` support and chowns `/app/data` + `/app/logs` on startup to fix this automatically.

### First: upgrade

Please update to the latest release (**≥ v1.4.2**, ideally **v1.4.3+**) and retry. There's a good chance one of the two fixes resolves it outright.

### If it's a permissions issue (the likely one in Docker)

**Step 1 — find the owner of your data folder.** On the **host** (not inside the container), look at the folder you've mapped to `/app/data`:

```bash
ls -lan /path/to/your/actual-sync/data
```

Note the numeric **UID** and **GID** in that listing (e.g. `1000 1000`, or `99 100` on Unraid).

**Step 2 (recommended, v1.4.3+) — tell the container to run as that user.** Add `PUID`/`PGID` to your config and restart:

```yaml
services:
  actual-sync:
    environment:
      - PUID=1000   # the UID from step 1
      - PGID=1000   # the GID from step 1
```

```bash
docker compose up -d
```

On startup the container aligns its user to `PUID:PGID` and chowns `/app/data` + `/app/logs` to match — no manual `chown` needed. You should see `Starting actual-sync as UID:GID 1000:1000` in the logs.

**Alternative / older versions — make the folder writable by the container's user.** If you'd rather not set `PUID`/`PGID`, find the container's runtime UID and chown the **host** folder to match:

```bash
docker exec <container> id          # e.g. uid=1001 gid=1001
sudo chown -R 1001:1001 /path/to/your/actual-sync/data
docker compose up -d
```

Either approach works — the first tells the container which user to be; the second makes the folder owned by the container's user.

### If it still fails on the latest version

Please run these against the running container so we can confirm which cause it is:

```bash
docker exec <container> id                         # runtime UID/GID
docker exec <container> ls -lan /app/data/beryl     # owner + perms
docker exec <container> ls -la  /app/data/beryl/*/  # do db.sqlite / metadata.json exist + size?
```

- Files **missing/zero-size**, or owner ≠ runtime UID → it's **permissions** (apply the steps above).
- Files **present and non-zero** → it's the **open/`resetClock`** path; v1.4.2's workaround should cover it. Debug logs (`LOG_LEVEL=debug`) showing whether `""Explicitly loaded budget after download""` appears would help.

### To help diagnose, could you also share:

1. **Your `docker-compose.yml` / `docker run`** (redact secrets) — especially the `/app/data` volume mount (bind mount vs named volume) and any `PUID`/`PGID` or `user:` settings.
2. **Host platform** — Unraid, Synology, generic Linux, macOS, Windows/WSL? (Permission behavior differs a lot between these.)
3. **Actual Budget *server* version** — a client/server version mismatch can trigger the cold-download path.
4. **Is this a brand-new budget** on that server, or one that's synced before? And are you on **HTTPS with a self-signed cert** (`https://192.168.X.X:PORT`)?
5. Are you using the **official image**, or a custom build?

(No need for the Dockerfile — that's the published image's, which we have.) With the above we can confirm the cause in one round; there's a strong chance **v1.4.3** fixes it either way.
"
42891,10363729425,IssueCommentEvent,ed-donner,ed-donner/agents,2026-06-06T17:36:15Z,created,Added Aryan's Deep_Research_Project,Great - thanks so much!
4666,10122506256,IssueCommentEvent,UmbiMax,AtaraxiaSpaceFoundation/Orion-Station-14,2026-06-01T09:19:31Z,created,[Tweak] D.O.O.R,"@coderabbitai Можно ли без [Dependency] решить вопрос? _animationSystem не существует
"
35196,10351528610,IssueCommentEvent,robbiet480,fleetdm/fleet,2026-06-06T03:09:19Z,created,"Custom SCEP proxy dynamic challenge (base64url) breaks Windows enrollment with ""non-printable character""","**Additional evidence: the proxy re-mints its own base64url challenge per resend, so an admin's alphanumeric CA challenge does not avoid this.**

Resent the same Windows SCEP profile to the same host twice and captured the proxy `ServerURL` each time. The challenge (last `%2C`-delimited field) is different on each resend, confirming `ds.NewChallenge()` generates a fresh value rather than forwarding the CA's configured challenge:

- Resend 1 challenge: `JURAzXStYElNpVi63B_ps6D0WxF7b3Gv`  ← contains `_`
- Resend 2 challenge: `i-8MPPQ85Ux3uqNptijN53Ru3KYIIgEI`  ← contains `-`

So both characters from the base64url alphabet (`_` and `-`) appear in practice, and the admin cannot avoid them by choosing an alphanumeric challenge on the CA side — the proxy substitutes its own. The Windows `ClientCertificateInstall/SCEP` CSP rejects both as non-printable, so the dynamic-proxy path is unusable on Windows until the generated challenge is constrained to a Windows-safe alphabet.

Workaround confirmed working: bypass the proxy and point the Windows SCEP profile directly at the CA's static SCEP URL with an inlined alphanumeric challenge."
41968,10358823669,IssueCommentEvent,biscuit-s,SteamClientHomebrew/Millennium,2026-06-06T12:48:40Z,created,[Bug 🪲]:Remote play together not working/not displaying correctly,"also happens on my end, this is the only thing preventing me from using millennium full time"
50376,10369430775,IssueCommentEvent,KeyouXZ,KeyouXZ/Skynomi,2026-06-07T01:32:54Z,created,👋,Hi! Thanks for your interest. I'm not planning to update these plugins right now due to a busy schedule and no active maintainers.
52327,10370512243,IssueCommentEvent,an0mium,synaptent/aragora,2026-06-07T03:12:30Z,created,Open a draft PR for an Improver Writer owner-helper dogfood fix that suppresses identify_lane_owner.py BrokenPipeError tracebacks when automation probes pipe JSON output.,Boss removed `boss-ready` because this issue is outside the canonical proof-first queue for the current tranche (non_canonical).
88,10108884167,IssueCommentEvent,taku0,NixOS/nixpkgs,2026-06-01T00:08:13Z,created,firefoxpwa: fix build failure with wrapper,"@woffs `thunderbird-bin` is fixed here https://github.com/NixOS/nixpkgs/pull/525433 (https://github.com/NixOS/nixpkgs/pull/525433/changes/0820f8c4f8673c16c8959949ff84d852291d4a6f)

Setting `libName` might be better than creating an empty directory if we can."
10915,10168921641,IssueCommentEvent,DavidVentura,DavidVentura/offline-translator,2026-06-02T08:27:13Z,created,Consider transliterating text before performing TTS,"Yeah this sounds reasonable.

I do wonder if it could automatically pick the right language/voice for mixed-script. But I don't think it's going to consistently work; the TTS requests don't specify what the language mix is, "
59247,10375654164,IssueCommentEvent,ionfwsrijan,gopaljilab/Clinical-Insight-Engine,2026-06-07T10:58:19Z,created,fix: 955 duplicate routes,@gopaljilab The PR is mergeable now
7000,10154382971,IssueCommentEvent,Mmesolove,StellaBridge/Bridge-Watch,2026-06-01T23:36:09Z,created,Add Data Expiry API,"@Mmesolove has applied to work on this issue as part of the **Stellar Wave Program**'s 5th wave.

<!-- wave:application-id:227a2a02-97f4-4f53-87ea-7f957399b3f9 -->
<!-- wave:app-text-start -->
> Hi maintainer, I have read the description and I can solve it,please kindly assign to me 
<!-- wave:app-text-end -->

ℹ️ **Repo Maintainers**: To accept this application, [review their application](https://www.drips.network/wave/maintainers/issues/e48e6b89-c9d8-49bf-bdee-36fc40a0deae) or assign @Mmesolove to this issue."
30656,10347531335,IssueCommentEvent,Manuem-dev,Manuem-dev/gestion-stock,2026-06-05T23:10:58Z,created,Revu de l'affichage des produits en rupture de stock,reçu
61953,10383823376,IssueCommentEvent,Stanzilla,dependabot/dependabot-core,2026-06-07T20:36:36Z,created,Support PNPM v11,"Definitely still broken, both basic support and also support for new features in 11"
52758,10370751995,IssueCommentEvent,nightah,stonerl/Thaw,2026-06-07T03:37:31Z,created,[Bug] screen goes black periodically,"@geopick do you mean Version 2.0.0-beta.14 (45) or the version I linked above in the issue?

Also, you didn't attach your log file properly; I just see the name of the log."
34962,10351410385,IssueCommentEvent,eduardomourar,uutils/coreutils,2026-06-06T03:01:33Z,created,wasm: support for wasm32-wasip2 target,"The main reason to have WASI Preview 2 is because Preview 1 is not being further developed. In wasip1, we would never get full support for streams and socket. With wasip2, on other hand, we will have those as well as support for the WebAssembly Component Model. This documentation might help answering you: https://component-model.bytecodealliance.org/design/why-component-model.html#interoperability

Should we drop wasip1? Probably not yet. There are few features that are missing in Preview2:
* std::os::wasi::prelude::OsStrExt is still under a unstable flag as discussed [here](https://github.com/rust-lang/rust/issues/130323)
* [WASI CLI Exit with code has stabilized](https://github.com/WebAssembly/WASI/pull/913) but it has not been implemented in rust std
* Generated WASM component cannot be easily loaded yet in the browser. You need [JCO](https://github.com/bytecodealliance/jco) to transpile it and include the respective WASI shims in order to have something similar to the Uutils Playground. "
1205,10109975586,IssueCommentEvent,mohsen1,mohsen1/tsz,2026-06-01T01:16:14Z,created,fix(checker): preserve imported generic type-only contexts,"AgentName: Reviewer

Finding: current ready head `534d3930a3439d6a8f18725e1ab558f9dd91125f` has two readiness blockers.

First, `project-corpus-pr-body` is red on run `26730086315`; the Project Corpus Impact section uses bare `Row:`, `Bug family:`, and `Evidence:` lines instead of the required list-item shape (`- Row: ...`, `- Bug family: ...`, `- Evidence: ...`).

Second, the diff touches `crates/tsz-checker/src/types/computation/identifier/core.rs`, and that hand-authored source shard is `2028` physical lines on this PR head. AGENTS section 19 has no ratchet exception for touched source files over 2000 lines.

Why it matters: this is a ready checker/project-row PR, so both the remote PR body contract and the hard source-size gate need to be clean before queueing. The Kysely reduction may be useful, but exact-head CI/body evidence and file organization have to be reviewable first.

Suggested fix before queue: update the Project Corpus Impact section to the required bullet format, split/move enough identifier-computation code so every touched source shard is under 2000 lines, refresh the PR body with the split evidence, and keep `merge-queue` off until exact-head PR checks are green after those changes.
"
17513,10244784777,IssueCommentEvent,rviscomi,web-platform-dx/developer-signals,2026-06-03T19:26:19Z,created,Transferable streams,"This issue has been identified as a duplicate of #133.

To help consolidate developer signals and upvotes in one place, we are closing this issue. Please head over to #133 to leave any comments or thumbs-up reactions.

Thank you for your support!"
6432,10151817203,IssueCommentEvent,dime10,unitaryfoundation/jeff,2026-06-01T21:58:26Z,created,"While, DoWhile, and linear states","> Go with [MLIR's definition](https://mlir.llvm.org/docs/Dialects/SCFDialect/#scfwhile-scfwhileop). The condition and body blocks can read and modify the state. Both yield the same list of values, as they are all iteration arguments.

In MLIR, the two blocks actually yield a (potentially) different set of values. Is the last sentence added as an explicit departure from the MLIR definition, or just an oversight? "
7888,10156428960,IssueCommentEvent,bathina2,huggingface/Microsoft-Azure,2026-06-02T01:04:12Z,created,add golf-mcp/golf-prompt-guard  to foundry,Hey @alvarobartt following up on this as well. Any updates here? We would like to make some progress and use the AzureXHuggingface integration.
58151,10374816800,IssueCommentEvent,Mingholy,Mingholy/loopat,2026-06-07T09:49:23Z,created,[Batch 1/5] feat(api-v1): accept images in POST /loops/:id/messages,Closing: this PR has merge conflicts with main and cannot be merged as-is.
61725,10383655475,IssueCommentEvent,Zilderlan09,LarissaFDS/underwater_game,2026-06-07T20:23:23Z,created,"Testes finais, correção de bugs críticos e versão de produção","Atualização DevOps — Issue #17

Testes finais realizados:

* Partida completa testada nos dois caminhos: vitória por animais e vitória por eliminação.
* Testes de desconexão realizados durante lobby, durante jogo e durante puzzle.
* Testes cross-browser realizados em Chrome, Firefox e Edge.
* Legibilidade dos textos verificada nos temas claro e escuro do sistema.
* URL pública do Render validada sem necessidade de rodar nada localmente.
* Conexão com os serviços públicos validada pelo console:

  * game-service conectado;
  * score-service conectado.
* Framerate verificado por medição alternativa via `requestAnimationFrame`, com valores estabilizados acima de 55fps.
* Vídeo de demonstração gravado: https://drive.google.com/file/d/1kaGGiPsMdLR__N8zGRzOdgbKi87pxIv_/view

Observação sobre o deploy do frontend:

O deploy final do frontend no Vercel/Netlify não pôde ser concluído corretamente a partir do repositório oficial porque o repositório `LarissaFDS/underwater_game` está vinculado à conta da proprietária e não aparece para importação na minha conta da plataforma, mesmo eu estando como colaborador no GitHub.

Foi identificado que o projeto disponível no Vercel estava conectado a um clone privado, não ao repositório oficial. Por isso, as alterações relacionadas ao Vercel foram revertidas para preservar o estado funcional do projeto.

Para concluir o deploy final do frontend, é necessário que a proprietária do repositório importe o projeto no Vercel/Netlify ou libere o acesso do GitHub App da plataforma ao repositório oficial.

Configuração esperada para o deploy final:

* Framework: Vite
* Install Command: `cd client && npm install`
* Build Command: `cd client && npm run build`
* Output Directory: `client/dist`

Variáveis esperadas no frontend publicado:

* `VITE_AUTH_URL=https://underwater-game.onrender.com`
* `VITE_SOCKET_URL=https://underwater-game.onrender.com`
* `VITE_SCORE_URL=https://underwater-game.onrender.com`

No Render, a variável `CLIENT_URL` deve apontar para a URL final do frontend publicado.
"
55267,10372687698,IssueCommentEvent,oil-lamp-cat,oil-lamp-cat/oil-lamp-cat.github.io,2026-06-07T06:48:32Z,created,이미지_HTB_2026_하반기,"<img width=""600"" height=""191"" alt=""Image"" src=""https://github.com/user-attachments/assets/1a104e47-cb5f-4204-947f-1aee57365d1c"" />"
31411,10348045860,IssueCommentEvent,CodeEagle,CodeEagle/lzcat-apps,2026-06-05T23:38:32Z,created,[migration] knowless,"### `discovery_review` → `supervisor_handling`
via `supervisor.claim` • @ 2026-05-19T15:18:28Z • [run #26106708477](https://github.com/CodeEagle/lzcat-apps/actions/runs/26106708477)

7x24 supervisor claimed this item for triage

<details><summary>context</summary>

- attempts: `0`
- last_error: `claude discovery reviewer exited 1`

</details>

---

### `supervisor_handling` → `discovery_review`
via `supervisor.release` • @ 2026-05-20T02:02:36Z • [run #26136720620](https://github.com/CodeEagle/lzcat-apps/actions/runs/26136720620)

supervisor claim stale for 644m; restored to discovery_review

<details><summary>context</summary>

- attempts: `0`
- last_error: `claude discovery reviewer exited 1`

</details>

<!-- lzcat-autopost: state_history_to_issues.py -->
"
